"County","Sector","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","Total Usage"
"ALAMEDA","Non-Residential","    7199.918113","    6925.652558","    6916.778587","    7882.111065","    7597.929941","    8064.826133","    7839.027917","    7314.082970","    7371.228678","    7597.603363","    7550.324307","    7926.453151","    7673.092470","    7316.103923","    8155.446566","    8745.368426","    8045.805586","    8029.370660","    7762.513529","    7651.897620","    7613.365033","    7443.365995","    7736.055471","  176358.322062"
"ALAMEDA","Residential","    3195.466282","    3199.260620","    3305.871703","    3010.402237","    2944.754452","    2991.113738","    2917.791561","    2893.812078","    2891.659740","    2985.032380","    2998.977641","    3023.685951","    3020.404214","    3015.756941","    2995.663532","    2971.594216","    3118.211648","    3025.225113","    2897.754342","    2937.018704","    2811.571345","    2745.204109","    2926.105041","   68822.337588"
"ALAMEDA","Total","   10395.384395","   10124.913178","   10222.650290","   10892.513302","   10542.684394","   11055.939871","   10756.819478","   10207.895048","   10262.888418","   10582.635742","   10549.301948","   10950.139101","   10693.496684","   10331.860864","   11151.110098","   11716.962642","   11164.017234","   11054.595774","   10660.267872","   10588.916324","   10424.936379","   10188.570104","   10662.160512","  245180.659652"
"ALPINE","Non-Residential","       7.849272","       7.878632","       8.281124","       8.834244","       9.295662","       9.026639","       8.124741","       4.354396","       4.008389","       4.752038","       4.590161","       5.199864","       5.203784","       5.234789","       9.368614","      10.685739","       9.377073","       9.132023","       9.431229","       5.112883","       4.671739","       5.081493","       5.159971","     160.654499"
"ALPINE","Residential","       9.597056","      10.072240","      10.250051","      10.307842","       9.599419","      10.060395","       9.347109","      11.907550","      12.027282","      13.472507","       9.339533","       9.123026","      12.471469","      13.046053","       8.916510","       9.336839","       9.543385","       8.097079","       9.002608","       6.358662","       6.721208","       6.858448","       6.247035","     221.703306"
"ALPINE","Total","      17.446328","      17.950872","      18.531175","      19.142086","      18.895080","      19.087034","      17.471850","      16.261946","      16.035672","      18.224544","      13.929694","      14.322890","      17.675253","      18.280841","      18.285124","      20.022577","      18.920459","      17.229102","      18.433837","      11.471545","      11.392946","      11.939940","      11.407006","     382.357801"
"AMADOR","Non-Residential","     197.616494","     202.639069","     194.991369","     175.982808","     163.133751","     169.615298","     173.880395","     152.103462","     155.928143","     170.516052","     180.430702","     169.589641","     175.356186","     183.671301","     187.806853","     179.824177","     165.108359","     160.652747","     165.129804","     142.213818","     135.648466","     184.203109","     234.808988","    4020.850992"
"AMADOR","Residential","     151.480585","     153.267904","     150.110436","     136.944614","     135.997098","     142.849046","     134.991282","     132.545210","     134.513529","     139.319651","     140.910645","     140.105259","     139.778073","     142.780381","     143.987195","     142.548308","     142.507651","     134.404073","     135.633939","     129.154833","     126.438783","     121.404776","     127.238094","    3178.911365"
"AMADOR","Total","     349.097079","     355.906973","     345.101805","     312.927422","     299.130849","     312.464344","     308.871678","     284.648672","     290.441672","     309.835703","     321.341347","     309.694900","     315.134258","     326.451683","     331.794048","     322.372485","     307.616010","     295.056820","     300.763743","     271.368651","     262.087249","     305.607886","     362.047082","    7199.762359"
"BUTTE","Non-Residential","     715.487325","     791.701933","     636.772661","     729.750049","     750.835547","     764.452962","     755.623978","     773.874551","     762.204239","     764.900680","     759.819694","     700.346790","     690.200059","     707.640106","     731.310253","     786.087489","     706.213072","     659.736364","     683.142462","     660.939740","     706.442105","     643.420371","     858.737526","   16739.639956"
"BUTTE","Residential","     729.248698","     736.114349","     732.338057","     657.739776","     716.471589","     759.316939","     720.607487","     712.330522","     719.038103","     729.842250","     738.777540","     725.624398","     718.727343","     731.416629","     723.877563","     714.959767","     708.445315","     685.899633","     689.731306","     658.681627","     638.648009","     604.699033","     705.766172","   16258.302105"
"BUTTE","Total","    1444.736022","    1527.816282","    1369.110719","    1387.489824","    1467.307136","    1523.769901","    1476.231464","    1486.205073","    1481.242342","    1494.742930","    1498.597234","    1425.971188","    1408.927402","    1439.056735","    1455.187815","    1501.047256","    1414.658387","    1345.635996","    1372.873769","    1319.621367","    1345.090114","    1248.119405","    1564.503698","   32997.942059"
"CALAVERAS","Non-Residential","     106.057981","     129.363216","     123.916863","     126.211273","     130.563671","     133.484159","     118.112646","     120.355501","     127.070716","     126.868730","     125.063020","     125.662269","     117.952709","     122.320247","     119.266585","     122.175308","     123.206487","     119.889122","      99.087106","      94.780181","      97.364260","      86.515141","      81.848138","    2677.135329"
"CALAVERAS","Residential","     219.858248","     225.746964","     220.570104","     201.015067","     201.206407","     213.797298","     197.703137","     191.131348","     192.507301","     199.711139","     201.499609","     200.505154","     198.027991","     201.999249","     200.693209","     199.927014","     195.024486","     187.928207","     189.245629","     177.245135","     175.352321","     168.844087","     173.578409","    4533.117513"
"CALAVERAS","Total","     325.916229","     355.110180","     344.486967","     327.226340","     331.770078","     347.281456","     315.815783","     311.486849","     319.578017","     326.579869","     326.562629","     326.167424","     315.980700","     324.319496","     319.959794","     322.102322","     318.230973","     307.817328","     288.332735","     272.025316","     272.716581","     255.359228","     255.426547","    7210.252841"
